30 390
9 27 10
9 29 11.5
10 2 8.06
10 4 12.8
10 6 12.6
10 11 9.78
10 12 8.03
10 13 8.66
10 17 13.3
10 18 14.4
10 19 13.5
10 20 13.5
10 21 14.2
10 23 13.2
10 24 8.68
10 25 15.6
10 28 15.9
11 0 15.4
11 4 13.6
11 6 9.25
11 8 12.2
11 12 8.85
11 13 11.5
11 21 8.03
11 22 8.91
11 23 10.5
11 25 10
11 28 13
12 1 9.57
12 2 13.2
12 13 11.6
12 14 13.3
12 15 13.1
12 16 11.4
12 19 12.3
12 20 11.2
12 21 8.29
12 22 9.57
12 24 12.7
12 26 9.25
12 28 12.8
12 29 11.5
13 4 14.7
13 14 15.6
13 16 15.9
13 17 15.2
13 19 13
13 22 10.1
13 23 15.2
13 24 13.8
13 25 11.1
14 0 10.8
14 5 14
14 9 9.6
14 10 13.4
14 11 10.9
14 15 8.88
14 16 9.62
14 17 13.2
14 18 13.5
14 19 8.64
14 20 8.22
14 21 10.5
14 22 9.14
14 23 8.54
14 24 13.8
14 26 12.9
14 27 12.4
14 29 8.4
15 2 11.7
15 5 13.8
15 6 13.4
15 10 11.1
15 11 14.5
15 13 8.49
15 16 14.3
15 17 10.6
15 18 8.07
15 20 12.8
15 21 11.2
15 22 14.7
15 23 13
15 24 8.43
15 25 14.9
15 26 10.5
15 28 12.9
16 9 14.9
16 10 11.2
16 11 12.9
16 17 15
16 18 12.8
16 19 14.3
16 20 12.7
16 22 14.5
16 23 10.7
16 24 10.1
16 25 9.86
16 26 11
16 29 13
17 0 9.46
17 4 15.2
17 11 15.7
17 12 15.2
17 19 14.8
17 20 13
17 21 12.9
17 22 10
17 23 14.3
17 25 11.8
17 26 14.5
17 28 10.5
17 29 11.8
18 0 9.54
18 1 16
18 11 9.39
18 12 10.2
18 13 14.7
18 17 11
18 19 9.86
18 21 9.64
18 23 8.18
18 25 8.38
18 28 10.7
18 29 11.3
19 1 12.4
19 8 13.3
19 15 12.6
19 20 11.7
19 22 14.9
19 23 8.7
19 24 13.7
19 27 10.3
19 29 14
20 0 14.1
20 6 15.3
20 22 11.4
20 23 8.01
20 24 14.2
20 25 8.72
20 26 13.5
20 27 9.23
20 28 8.39
20 29 8.15
21 1 13.2
21 7 15.3
21 13 11.5
21 16 9.94
21 19 13.2
21 22 14.6
21 23 13.1
21 24 15.9
21 25 9.72
21 26 14.3
21 28 12.9
21 29 15.9
22 1 9.21
22 5 13.7
22 18 15.6
22 23 10.3
22 24 10.3
22 25 13.7
22 26 12.4
22 27 15.6
22 28 14.1
23 7 14
23 26 15.3
23 27 11.9
23 28 15.1
24 5 10
24 11 13.8
24 17 13
24 18 13.1
24 23 12.5
24 25 11.6
24 27 9.02
24 28 8.4
24 29 13.3
25 0 10.5
25 4 11.4
25 6 13.4
25 12 12
25 14 14.4
25 19 8.04
26 2 13.2
26 9 13.9
26 10 15.7
26 11 10.9
26 13 15.2
26 24 15
26 25 8.31
26 27 15.5
27 6 12.7
27 10 12.9
27 13 15.3
27 15 10.4
27 17 16
27 21 9.36
27 28 12.6
28 1 9.52
28 8 8.97
28 9 8.37
28 13 14.1
28 14 8.01
28 19 14.4
28 29 9.91
29 1 8.74
29 6 14.9
29 7 11.9
29 11 14
29 13 15.3
29 15 9.6
29 23 12.2
29 25 13.6
29 26 13.9
29 27 15.3
