300 33585
1 43 9.94
1 44 8.73
1 45 9.99
1 47 9.42
1 51 9.22
1 52 8.38
1 53 6.22
1 54 7.18
1 56 9.54
1 58 6.94
1 60 9.63
1 61 8.65
1 63 11
1 69 7.11
1 70 9.45
1 71 9.76
1 74 7.56
1 75 11.4
1 76 10.4
1 77 8.36
1 82 8.12
1 87 7.2
1 89 11.5
1 90 9.11
1 91 11.4
1 92 9.11
1 93 8.63
1 95 6.48
1 96 6.17
1 98 10.2
1 99 8.37
1 102 7.19
1 104 9.93
1 107 6.3
1 110 10.4
1 111 10.1
1 113 8.33
1 116 6.36
1 117 10.7
1 118 7.93
1 119 6.05
1 122 10.6
1 124 11.1
1 125 9.74
1 126 6.32
1 128 8.32
1 131 9.68
1 137 8.41
1 140 11.3
1 141 9.57
1 142 10.8
1 144 9.54
1 145 10.9
1 147 6.06
1 148 8.05
1 150 8.23
1 153 9.77
1 154 7.1
1 156 10.7
1 158 11.4
1 162 9.77
1 163 9.7
1 164 7.5
1 165 10.7
1 167 8.89
1 168 10.8
1 170 7.84
1 171 8.84
1 172 7.15
1 177 7.04
1 178 7.65
1 179 11
1 181 10.7
1 184 7.23
1 187 10.6
1 188 6.28
1 191 8.06
1 192 8.5
1 193 9.27
1 195 9.95
1 198 6.32
1 199 7.56
1 200 11.2
1 202 9.39
1 206 7.76
1 209 11
1 210 11.2
1 211 11.5
1 216 8.57
1 217 6.01
1 220 6.54
1 223 6.92
1 224 6.29
1 227 9.89
1 228 11.5
1 229 8.59
1 230 7.46
1 235 6.83
1 236 9.3
1 238 7.29
1 239 10.7
1 243 11.9
1 244 6.91
1 245 10.3
1 249 11.7
1 251 9.4
1 253 10.3
1 254 9.28
1 256 10
1 257 9.74
1 259 10.5
1 264 11.5
1 265 8.94
1 269 7.51
1 270 10.4
1 272 6.25
1 280 9.61
1 281 7.04
1 283 7.9
1 285 8.57
1 286 10.1
1 287 8.99
1 290 6.03
1 297 9.9
1 298 10.4
1 299 11.7
2 1 8.18
2 3 11.4
2 6 11.2
2 8 8.5
2 9 6.41
2 13 6.71
2 14 9.48
2 16 11.5
2 18 10.9
2 19 12
2 21 7.02
2 26 7.14
2 28 6.72
2 29 6.28
2 30 10.6
2 31 6.01
2 33 10.8
2 36 7.43
2 40 11.1
2 41 8.95
2 43 10.5
2 44 11.5
2 45 7.2
2 47 9.13
2 48 10.2
2 49 10.4
2 51 11.3
2 55 6.32
2 56 6.01
2 57 10.5
2 59 6.35
2 60 6.2
2 62 10.8
2 63 11.9
2 65 8.86
2 66 6.48
2 68 6.86
2 69 7.85
2 71 6.28
2 72 7.44
2 79 11.3
2 80 9.66
2 82 7.1
2 83 8.7
2 84 11.4
2 87 9.14
2 90 11.2
2 93 7.71
2 97 6.19
2 102 10.3
2 103 9.9
2 104 11.3
2 105 10.6
2 108 8.51
2 112 10.5
2 114 6.19
2 115 7.37
2 119 9.23
2 120 11.2
2 121 7.37
2 123 8.2
2 125 8.39
2 128 7.21
2 130 11.1
2 131 8.67
2 132 9.81
2 133 9.74
2 134 6.1
2 136 7.6
2 137 10.1
2 138 11.8
2 139 10.7
2 140 10.9
2 144 6.04
2 147 8.77
2 148 6.3
2 149 6.15
2 150 11.8
2 151 10.2
2 154 9.58
2 156 8.76
2 159 8.86
2 162 6.17
2 163 9.58
2 164 8.59
2 167 6.06
2 169 8.62
2 175 8.27
2 178 11.8
2 186 7.83
2 188 9.53
2 189 7.68
2 190 11.2
2 191 7.81
2 193 7.39
2 196 9.45
2 200 7.54
2 201 6.7
2 202 8.97
2 203 6.3
2 205 7.68
2 206 8.94
2 209 7.75
2 210 8.41
2 211 9.29
2 212 10.8
2 213 9.56
2 216 7.61
2 218 6.77
2 219 8.84
2 220 6.16
2 221 8.73
2 222 6.82
2 223 7.28
2 227 7.79
2 229 11.1
2 230 8.99
2 231 6.45
2 233 10.3
2 236 7.09
2 241 10.8
2 243 6.79
2 244 7.09
2 246 9.42
2 247 9.24
2 248 11.2
2 249 11.7
2 252 10.8
2 254 11.2
2 257 10
2 258 7.69
2 260 10.4
2 261 7.63
2 263 9.6
2 264 8.13
2 266 10.2
2 267 10
2 268 7.43
2 272 7.96
2 279 11.5
2 284 10.6
2 286 11.2
2 287 6.27
2 288 6.12
2 289 9.71
2 291 9.41
2 292 9.84
2 296 8.54
2 297 6.13
2 298 6.25
2 299 7.62
3 4 9.04
3 5 6.43
3 8 8.02
3 10 6.31
3 12 6.41
3 14 10.7
3 15 6.5
3 17 7.31
3 22 10.6
3 24 7.7
3 25 11.2
3 26 11.2
3 27 10.8
3 28 9.81
3 29 9.57
3 31 11.9
3 32 6.25
3 34 8.44
3 37 8.28
3 39 6.32
3 41 8.17
3 42 11.9
3 44 8.08
3 46 7.21
3 47 8.13
3 51 6.64
3 56 8.95
3 60 10.5
3 62 11
3 63 7.83
3 64 6.9
3 65 10.1
3 69 6.16
3 71 7.01
3 72 7.13
3 73 10.6
3 74 8.9
3 76 6.51
3 80 8.45
3 83 10.9
3 84 7.7
3 85 9.7
3 87 8.53
3 88 9.62
3 89 8.49
3 90 9.74
3 91 6.03
3 94 7.9
3 96 7.87
3 97 9.39
3 98 12
3 99 8.21
3 103 8.02
3 104 11.7
3 105 8.51
3 107 6.5
3 108 7.25
3 109 7.9
3 110 9.77
3 112 9.69
3 113 7.68
3 115 12
3 119 6.04
3 120 10.6
3 122 8.22
3 124 7.34
3 126 7.86
3 127 10.6
3 128 8.33
3 131 6.55
3 132 10.5
3 133 9.83
3 134 8.85
3 135 8.49
3 136 8.06
3 139 6.93
3 140 7.09
3 143 8.01
3 146 10.9
3 149 8.89
3 150 10.2
3 152 7.66
3 155 9.78
3 156 6.04
3 157 7.74
3 159 9.1
3 160 7.54
3 161 8.95
3 162 11
3 164 8.3
3 165 9.09
3 170 11.5
3 171 10.5
3 174 10.1
3 175 10.9
3 177 9
3 179 11.8
3 182 7.23
3 183 7.16
3 185 9.56
3 188 10.7
3 189 11.6
3 190 7.55
3 191 6.37
3 193 11.4
3 194 11.7
3 196 10.1
3 197 8.28
3 198 10
3 199 8.9
3 200 10.8
3 202 8.92
3 206 6.32
3 207 10.6
3 208 7.69
3 212 7.49
3 215 9.65
3 216 7.18
3 218 8.6
3 219 10.8
3 221 11.8
3 223 11.2
3 224 10.5
3 225 6.79
3 226 9.32
3 228 7.31
3 230 6.39
3 231 6.8
3 233 9.05
3 235 11.5
3 236 7.71
3 237 8.83
3 238 8.07
3 240 9.1
3 242 9.33
3 243 9.06
3 245 8.84
3 246 11.5
3 247 8.19
3 248 9.96
3 251 7.68
3 254 11.1
3 255 8.78
3 256 8.65
3 257 8.27
3 259 8.9
3 261 6.06
3 262 6.24
3 263 7.54
3 265 8.66
3 266 9.26
3 267 10.8
3 268 11.5
3 269 6.86
3 270 6.06
3 273 6.07
3 274 11.3
3 280 7.35
3 281 11.8
3 282 8.4
3 283 8.01
3 284 9.75
3 287 11.4
3 288 7.97
3 290 9.5
3 293 9.99
3 294 7.48
3 295 6.61
3 296 11
3 297 8.72
4 2 6.6
4 6 11.3
4 10 9.78
4 11 10.9
4 13 10.5
4 14 7.41
4 16 7.64
4 17 7.05
4 18 10.5
4 19 7.68
4 24 9.95
4 25 10
4 26 6.34
4 27 11.7
4 29 6.98
4 30 7.66
4 31 7.42
4 33 10.5
4 34 7.63
4 36 10.3
4 38 9.78
4 40 8.29
4 41 11.2
4 42 8.97
4 46 9.44
4 54 10.3
4 56 8.43
4 58 6.58
4 59 6.97
4 61 10.4
4 63 9.42
4 64 6.67
4 65 10.4
4 67 7.29
4 68 9.68
4 73 7.32
4 74 9.45
4 75 11.6
4 78 9.93
4 80 9.9
4 82 10.4
4 83 10.5
4 84 9.29
4 86 9.7
4 87 10.4
4 88 10.5
4 90 9.69
4 91 11
4 93 8.37
4 94 8.93
4 95 10.6
4 96 8.01
4 99 6.49
4 101 6.27
4 102 6.65
4 103 8.6
4 106 7.57
4 108 11.3
4 110 7.39
4 113 10.3
4 114 9.73
4 116 7.41
4 117 9.19
4 120 9.07
4 123 10.2
4 124 6.62
4 126 9.64
4 128 6.7
4 133 11.7
4 134 10.5
4 137 9.98
4 138 6.43
4 141 11.3
4 143 11.4
4 146 9.75
4 148 11.2
4 149 11.9
4 154 11.8
4 155 7.88
4 156 7.23
4 157 11.7
4 159 7.3
4 160 8.59
4 163 8.34
4 164 9.35
4 165 11.6
4 171 7.97
4 172 9.76
4 173 8.94
4 175 6.63
4 177 8.72
4 179 11.1
4 181 9.75
4 183 7.53
4 184 10.2
4 185 6.66
4 186 8.89
4 187 6.59
4 188 6.56
4 189 7.96
4 192 9.38
4 193 7.12
4 194 8.56
4 195 10.3
4 198 8.9
4 202 10.5
4 203 8.18
4 213 7.53
4 214 10.5
4 218 8.41
4 222 8.08
4 223 11
4 225 6.49
4 227 10.1
4 228 7.11
4 229 7.43
4 231 11.9
4 232 8.42
4 234 9.95
4 237 10.6
4 241 6.29
4 243 10.8
4 244 7.72
4 246 10.9
4 247 7.93
4 249 7.47
4 250 10.9
4 251 9.46
4 252 8.26
4 253 10.7
4 254 7.86
4 255 10.5
4 256 9.35
4 257 8.21
4 258 6.41
4 260 7.92
4 262 9.16
4 264 9.59
4 265 11.6
4 267 9.49
4 268 7.77
4 269 10.6
4 270 9.48
4 272 6.81
4 273 7.12
4 275 9.07
4 276 10.3
4 277 9.69
4 279 10.4
4 281 8.99
4 282 11.8
4 283 10.7
4 284 10.6
4 285 11
4 286 12
4 288 6.94
4 290 11.9
4 297 10.8
4 298 11.3
4 299 11.4
5 6 8.64
5 7 7.3
5 8 10.7
5 9 8.39
5 11 6.29
5 13 9.12
5 16 7.03
5 17 8.83
5 19 9.51
5 23 11.9
5 25 6.53
5 26 9.46
5 27 9.56
5 28 9.48
5 29 10.7
5 30 11.3
5 33 8.51
5 34 8.15
5 35 7.9
5 38 6.37
5 42 10.2
5 44 9.64
5 46 10.7
5 47 9.39
5 49 11.7
5 51 9.78
5 55 10.1
5 56 8.38
5 57 11.9
5 58 7.52
5 59 10.1
5 60 11.7
5 62 9.06
5 65 6.89
5 66 10.1
5 68 12
5 69 9.59
5 72 11
5 73 9.31
5 75 11.6
5 76 6.6
5 77 11.1
5 79 6.39
5 82 8.22
5 86 8.13
5 87 6.69
5 88 8.37
5 89 11.6
5 90 9.39
5 91 9.51
5 94 9.76
5 95 9.95
5 97 9.07
5 98 8.52
5 100 11.3
5 104 7.9
5 106 9.44
5 107 8.37
5 110 11.2
5 111 10.5
5 113 6.18
5 115 8.13
5 118 11.7
5 119 10.7
5 121 9.68
5 124 10.2
5 126 10.4
5 128 9.06
5 129 11.7
5 132 11.6
5 133 7.84
5 134 8.55
5 137 6.99
5 140 9.02
5 141 6.09
5 142 9.22
5 143 11.1
5 144 8.1
5 147 9.29
5 149 6.46
5 150 10.8
5 152 8.69
5 153 11.2
5 154 9.23
5 156 9.68
5 157 10.3
5 158 9.42
5 159 8.08
5 162 11.7
5 164 6.71
5 166 8.64
5 168 7.19
5 169 10.6
5 170 11.7
5 172 7.07
5 173 6.46
5 175 10.6
5 176 10.2
5 182 7.39
5 183 6.2
5 184 8
5 186 6.33
5 188 6.86
5 190 7.81
5 191 6.31
5 192 9.58
5 199 9.81
5 201 9.15
5 203 6.12
5 204 11.9
5 205 6.45
5 207 6.65
5 210 7.12
5 213 9.37
5 214 9.8
5 215 9.28
5 219 6.31
5 220 7.23
5 221 11.1
5 222 11.3
5 225 6.13
5 229 9.9
5 231 6.15
5 232 10.5
5 233 7.96
5 235 10.2
5 236 10.6
5 239 9.28
5 244 11.1
5 246 6.93
5 251 8.97
5 253 9.32
5 254 8.75
5 255 7.26
5 257 8.18
5 258 7.27
5 259 11.4
5 261 10.2
5 263 7.06
5 265 8.52
5 267 7.8
5 268 6.11
5 269 11.1
5 270 9.76
5 271 10
5 275 9.91
5 276 11.4
5 279 10.8
5 280 7.67
5 285 8.74
5 287 10.7
5 289 10.9
5 290 7.33
5 291 10.6
5 293 6.36
5 295 8.5
6 3 9.39
6 9 7.2
6 10 8.71
6 11 7.86
6 13 10.1
6 16 6.22
6 18 6.84
6 21 11.4
6 24 8.98
6 26 10.8
6 29 8.01
6 31 10.6
6 33 9.12
6 35 9.86
6 36 7.55
6 38 8.48
6 39 7.15
6 40 8.8
6 43 7
6 47 6.45
6 48 11.2
6 49 8.48
6 50 10.3
6 51 7.74
6 53 8.61
6 57 7
6 58 9.78
6 63 7.24
6 64 11.4
6 66 10.7
6 67 7.56
6 68 7.49
6 69 10.5
6 70 6.23
6 71 11.8
6 76 8.45
6 77 6.58
6 78 8.17
6 79 10.9
6 82 10.7
6 83 10.5
6 85 10.4
6 86 10.4
6 90 10.8
6 92 11.2
6 95 10.6
6 100 10.9
6 101 9.51
6 102 8.69
6 103 10.4
6 107 10.7
6 108 8
6 109 6.69
6 110 8.08
6 111 8.09
6 113 10.7
6 116 9.72
6 117 6.26
6 119 6.75
6 122 10.6
6 124 9.22
6 127 9.11
6 128 11
6 129 9.18
6 130 7.54
6 131 10.4
6 134 6.26
6 136 7.29
6 137 11.1
6 138 9.29
6 140 7.25
6 141 10.6
6 142 11.2
6 144 11.3
6 145 7.52
6 146 6.68
6 147 6.64
6 149 7.14
6 150 6.37
6 152 11
6 153 6.26
6 154 7.31
6 155 10.2
6 157 10.5
6 158 8.45
6 159 9.04
6 161 9.59
6 163 10.9
6 166 7.09
6 169 10.2
6 171 9.09
6 172 9.81
6 173 11.6
6 175 10.4
6 176 8.25
6 177 10.8
6 180 7.91
6 181 10.1
6 183 9
6 185 6.42
6 187 10.2
6 189 10.1
6 191 8.19
6 192 7.44
6 194 11.6
6 196 7.33
6 199 6.42
6 201 9.32
6 202 6.47
6 204 9.02
6 205 9.32
6 206 8.37
6 207 6.46
6 208 7.75
6 209 10
6 210 9.9
6 214 9.98
6 215 7.03
6 217 11.8
6 219 11.2
6 221 7.15
6 222 8.6
6 225 7.59
6 229 9.6
6 231 9.25
6 232 10.9
6 235 10.9
6 237 6.78
6 241 8.77
6 242 10.4
6 247 9.93
6 248 8
6 251 6.65
6 258 10.9
6 259 6.6
6 261 10.9
6 264 10.5
6 265 7.36
6 266 8.68
6 270 11.3
6 273 8.34
6 275 10.6
6 277 10.5
6 278 8.61
6 279 9.69
6 280 11
6 282 10.4
6 286 11.7
6 287 8.75
6 288 8.15
6 293 9.61
6 295 6.25
6 298 11.3
7 0 9.4
7 2 7.41
7 3 11.1
7 8 6.32
7 9 11.4
7 11 8.92
7 12 10.6
7 16 7.4
7 17 6.59
7 20 11.1
7 21 9.3
7 22 8.15
7 23 11.8
7 24 11.4
7 28 10.9
7 29 10.4
7 31 6.06
7 32 9.3
7 33 11.5
7 34 7.64
7 38 11.9
7 42 11.2
7 43 11.3
7 47 11.7
7 49 6.1
7 50 10.3
7 51 10
7 53 8.64
7 54 11.5
7 56 6.96
7 57 11.6
7 59 6.66
7 60 7.58
7 63 9.04
7 66 9.44
7 67 11.3
7 68 6.44
7 74 9.85
7 78 11.8
7 80 6.24
7 85 9.37
7 87 11.9
7 92 10.3
7 93 10.9
7 94 6.18
7 95 6.79
7 97 11.8
7 98 10.5
7 106 10.7
7 107 7.46
7 108 10.1
7 110 7.84
7 113 10.2
7 116 10.6
7 121 7.95
7 125 7.97
7 126 10.2
7 128 10.3
7 129 8.2
7 133 6.71
7 135 10.9
7 137 10
7 139 6.69
7 141 9.33
7 144 6.58
7 147 11.2
7 149 6.22
7 153 11.5
7 155 8.06
7 161 9.33
7 162 7.92
7 165 8.29
7 167 6.28
7 169 6.85
7 171 10.7
7 172 11.8
7 173 11
7 174 11.7
7 177 6.08
7 178 9.67
7 180 7.9
7 181 11.1
7 182 9.82
7 185 6.54
7 186 10.9
7 187 11.3
7 188 6.36
7 189 8.73
7 190 11.3
7 192 7.71
7 193 10.4
7 195 9.08
7 198 7.18
7 201 8.24
7 205 8.26
7 207 6.76
7 209 9.34
7 214 8.04
7 216 7.27
7 218 6.38
7 220 8.45
7 223 10.7
7 228 6.91
7 231 7.69
7 234 10.4
7 236 7.85
7 237 9.56
7 238 7.64
7 240 7.97
7 241 11.6
7 244 11
7 245 10.2
7 248 10.7
7 249 7.02
7 250 7.95
7 251 12
7 252 11.6
7 253 11.3
7 255 8.76
7 262 9.47
7 264 8.35
7 266 10.5
7 268 8.58
7 269 8.31
7 270 10.9
7 272 8.43
7 274 7.91
7 276 11.3
7 278 10.3
7 280 10
7 281 8.69
7 282 10.1
7 284 8.93
7 285 9.02
7 287 7.04
7 290 10.3
7 291 8.41
7 292 7.85
7 293 10.9
7 294 10.6
7 296 6.05
7 297 10.6
8 4 6.55
8 9 6.06
8 11 8.29
8 12 11.4
8 14 8.38
8 15 8.95
8 19 10.3
8 20 7.64
8 22 11.8
8 26 12
8 28 11.2
8 29 9.61
8 31 8.75
8 35 7.94
8 36 9.42
8 37 7.86
8 38 9.58
8 39 6.42
8 42 8.81
8 44 11.6
8 45 7.19
8 47 9.46
8 48 10.5
8 49 10.4
8 51 9.55
8 53 9.91
8 57 11
8 59 7.21
8 60 6.35
8 61 9.93
8 62 6.11
8 64 11.5
8 69 11.6
8 72 6.93
8 73 11.2
8 77 11.4
8 81 9.02
8 82 11.7
8 83 8.5
8 88 10
8 91 7.65
8 93 6.65
8 94 6.25
8 98 6.36
8 99 7.99
8 100 9.53
8 102 7.88
8 105 7.83
8 111 6.13
8 112 8.82
8 119 6.26
8 121 8.11
8 122 9.99
8 124 7.99
8 126 10.3
8 128 7.07
8 129 8.6
8 130 8.59
8 131 7.65
8 133 8.01
8 135 6.73
8 139 9.55
8 142 11.7
8 144 6.84
8 145 9.26
8 147 11.9
8 149 6.58
8 150 12
8 154 11.2
8 157 9.31
8 161 9.2
8 162 12
8 165 10.5
8 166 8.87
8 169 11.2
8 176 6.26
8 177 10.2
8 179 6.77
8 183 8.29
8 184 8.85
8 187 11.7
8 188 7.12
8 190 8.81
8 191 7.01
8 192 9.82
8 193 10.3
8 194 11
8 196 9.98
8 198 11.3
8 199 11.1
8 201 11.2
8 204 6.19
8 205 9.64
8 208 8.76
8 209 11
8 216 11.8
8 217 12
8 218 9.51
8 225 9.53
8 227 10.7
8 228 8.85
8 232 8.17
8 236 11.8
8 237 8.96
8 238 7.15
8 244 11.8
8 245 11.8
8 246 7.7
8 249 7.11
8 252 11.8
8 254 9.88
8 256 7.91
8 259 8.63
8 260 7.79
8 263 8.91
8 265 7.04
8 266 8.8
8 267 8.54
8 268 7.52
8 270 6.69
8 271 7.6
8 273 11.1
8 276 7.98
8 278 9.49
8 280 7.73
8 283 9.66
8 285 11
8 286 6.84
8 287 9.71
8 289 9.19
8 291 10.4
8 292 11.6
8 293 10.1
8 294 9.27
8 295 8.53
8 297 7.96
9 1 8.77
9 3 6.39
9 10 7.43
9 12 11.8
9 16 8.92
9 19 9.57
9 20 11.1
9 21 10.2
9 22 8.52
9 25 7.53
9 26 7.09
9 28 7.47
9 29 10.2
9 30 7.88
9 36 7.62
9 38 6.08
9 40 7.16
9 43 11.1
9 45 11.8
9 46 8.47
9 47 6.01
9 48 8.59
9 49 7.46
9 50 6.35
9 54 6.9
9 56 9.57
9 58 8.12
9 61 11.4
9 62 9.87
9 64 10.7
9 66 11.1
9 69 6.53
9 73 8.15
9 75 8.44
9 77 10.3
9 79 9.34
9 80 9.05
9 83 6.12
9 85 10.7
9 86 6.17
9 87 9.64
9 88 8.29
9 89 11.8
9 90 11.9
9 93 6.77
9 94 9.66
9 95 9.76
9 97 8.74
9 99 8.83
9 102 10.7
9 103 11
9 104 9.84
9 106 6.29
9 111 11.8
9 115 7.06
9 116 8.35
9 117 9.95
9 119 9.01
9 122 11
9 124 6.27
9 125 10.1
9 126 6.61
9 129 11.8
9 131 8.75
9 132 10.8
9 133 8.47
9 135 9.51
9 136 8.11
9 138 10.5
9 139 9.45
9 140 11.5
9 141 8.65
9 143 9.09
9 144 8.57
9 145 10.2
9 147 8.95
9 149 9.39
9 150 6.01
9 151 6.59
9 152 11.3
9 153 10.3
9 155 8.75
9 159 9.73
9 160 8.21
9 161 6.14
9 162 11.8
9 165 8.95
9 169 6.4
9 170 9.78
9 171 8.7
9 173 10
9 175 9.65
9 177 11
9 178 6.77
9 179 10.8
9 181 7.38
9 186 11.8
9 187 6.41
9 188 10
9 189 9.54
9 190 7.34
9 191 10.4
9 193 10.7
9 195 8.22
9 196 9.25
9 197 8.63
9 198 9.71
9 200 9.84
9 203 6.65
9 204 8.6
9 206 8.31
9 207 6.2
9 208 9.46
9 210 6.52
9 211 9.3
9 212 6.61
9 217 6.56
9 223 6.36
9 226 10.4
9 227 10.3
9 228 10.2
9 229 10.2
9 233 11.1
9 234 8.16
9 236 9.41
9 237 6.46
9 238 10.8
9 239 11.2
9 240 6.12
9 241 8.46
9 243 9.55
9 247 10.3
9 248 10.3
9 249 7.82
9 251 11.8
9 252 7.13
9 254 6.27
9 257 10.4
9 259 10.5
9 261 9.27
9 264 11.8
9 265 11.7
9 268 10.4
9 269 9.02
9 270 7.05
9 271 10.1
9 272 7.51
9 273 10.6
9 274 7.99
9 276 10.7
9 278 10.1
9 282 10.2
9 283 7.23
9 284 10.8
9 285 11.6
9 286 8.44
9 289 7.05
9 290 7.84
9 291 7.5
9 293 10.9
9 294 10.7
9 295 7.14
9 299 9.93
10 8 7.8
10 11 8.85
10 14 10.7
10 16 9.15
10 17 8.07
10 18 9.86
10 19 7.67
10 20 9.91
10 21 9.61
10 23 7.91
10 24 8.41
10 25 7.06
10 28 6.86
10 32 11.9
10 33 11.1
10 37 9.21
10 41 10.4
10 42 11.5
10 43 6.14
10 45 10.1
10 46 9.21
10 47 7.78
10 48 9.7
10 49 7.36
10 58 11
10 60 9.23
10 61 10.1
10 65 7.9
10 66 9.27
10 67 7.8
10 70 10.5
10 71 6.44
10 72 9.72
10 74 10.7
10 75 7.76
10 79 6.89
10 81 9.3
10 82 7.87
10 83 6.99
10 84 8.66
10 85 8.34
10 88 9.56
10 90 11.2
10 95 10
10 96 11.7
10 97 7.1
10 101 8.02
10 103 11.9
10 105 11.7
10 106 6
10 107 6.17
10 108 8.77
10 111 7.45
10 112 9.16
10 113 7.34
10 117 11.6
10 121 6.96
10 122 11.2
10 123 10.5
10 124 7.74
10 129 8.41
10 130 10.2
10 131 8.01
10 133 8.47
10 135 10.2
10 137 7.25
10 143 8.96
10 146 9.61
10 150 6.63
10 151 9.97
10 152 11.6
10 153 9.32
10 154 9.73
10 158 8.86
10 164 7.86
10 166 11.1
10 169 8.34
10 171 6.13
10 174 7.13
10 177 9.22
10 178 12
10 181 11.9
10 182 11
10 183 10.1
10 188 10.7
10 189 10.5
10 190 8.97
10 191 11
10 192 11.9
10 197 11.6
10 199 6.19
10 201 6.92
10 203 8.46
10 204 10.1
10 206 10.4
10 208 10.5
10 211 7.93
10 213 10.7
10 214 10.1
10 219 6.08
10 221 6.84
10 223 10.8
10 226 11.6
10 227 11.8
10 228 10.8
10 230 8.23
10 232 9.54
10 234 6.95
10 235 6.29
10 238 6.31
10 239 6.87
10 240 7.38
10 241 9.98
10 242 7.5
10 243 11.5
10 244 7.88
10 246 11.6
10 247 9.53
10 248 8.53
10 253 11.8
10 256 10.7
10 257 6.43
10 258 11.6
10 260 9.93
10 262 6.43
10 264 11.2
10 265 11.5
10 268 8.95
10 269 9.51
10 271 10.5
10 272 6.65
10 273 9.68
10 276 7.68
10 278 9.8
10 280 7.16
10 281 11.2
10 282 8.64
10 285 6.65
10 286 7.36
10 287 11.9
10 289 6.51
10 291 9.48
10 293 8.52
10 294 10.1
10 296 9.68
10 297 10.1
10 298 8.54
11 2 9.24
11 9 8.88
11 13 11.2
11 14 10.8
11 17 10.8
11 19 6.5
11 22 9.13
11 24 11.5
11 25 11.5
11 27 9.73
11 28 10.7
11 29 10.7
11 30 9.06
11 34 11.2
11 36 7.69
11 37 9.02
11 38 6.62
11 39 8.86
11 41 9.83
11 42 8.89
11 43 7.65
11 45 11.4
11 46 10.2
11 47 6.31
11 48 7.4
11 50 7.52
11 51 10.7
11 53 7.56
11 54 7.31
11 55 7.06
11 56 8.44
11 60 9.61
11 62 11.6
11 63 8.75
11 64 6.96
11 66 6.44
11 67 8.66
11 68 10.3
11 71 10.8
11 73 11.2
11 74 11.3
11 77 11
11 82 11.5
11 86 9.25
11 88 8.49
11 93 10.7
11 94 8.63
11 99 7.35
11 102 11.3
11 103 8.1
11 105 11.3
11 107 11.1
11 108 6.82
11 109 9.08
11 111 7.97
11 113 6.27
11 114 7.49
11 117 9.98
11 119 11.7
11 120 8.54
11 121 10.7
11 123 11.2
11 124 9.6
11 127 7.58
11 130 8.12
11 131 9.45
11 132 11
11 135 6.19
11 136 9.89
11 138 7.95
11 139 8.32
11 143 10.7
11 147 9.67
11 148 10.4
11 150 12
11 152 11.6
11 154 8.57
11 156 9.54
11 157 8.07
11 159 9.76
11 160 9.39
11 162 11.5
11 163 11.8
11 165 8.94
11 166 11.8
11 168 11
11 169 9.08
11 171 9.19
11 172 8.71
11 174 11
11 175 6.1
11 176 7.27
